query,answer
"В документации о закупке дополнительно к сведениям, предусмотренным п. 12.12.16 Положения, указывается следующая информация: в документации об закупке указывается следующая информация о закупках: закупка предполагает следующую информацию, а закупка — следующую информация: закупка в следующем году начнется в октябре 2019 года.","в документации о закупке дополнительно к сведениям, предусмотренным п. 12.12.16 Положения, указывается следующая информация:"
"Правила проведения этапа этапа и порядок его проведения, а также о порядке проведения его этапа.",о проведении этапа и порядке его проведения;
"Право участника процедуры закупки, подавшего заявку до уточнения извещения, документации о закупке, не подавать окончательное предложение после официального размещения протокола по итогам этапа закупки, отказаться от участия в процедуре закупки.","о праве участника процедуры закупки, подавшего заявку до уточнения извещения, документации о закупке, не подавать окончательное предложение после официального размещения протокола по итогам этапа, что является его отказом от участия в закупке;"
"Участники закупки могут подать окончательные предложения с учетом уточненных функциональных характеристик (потребительских свойств) закупаемых товаров, работ, услуг, иных условий исполнения договора с одновременной подачей нового ценового предложения до установленных в них даты и времени окончания срока подачи окончательного предложения.","о праве участников закупки подать окончательные предложения с учетом уточненных функциональных характеристик (потребительских свойств) закупаемых товаров, работ, услуг, иных условий исполнения договора с одновременной подачей нового ценового предложения с даты официального размещения уточненных извещения, документации о закупке до установленных в них даты и времени окончания срока подачи окончательного предложения;"
"Сроки и порядок проведения этапа этапа подготовки к подготовке этапа и сроки проведения его проведения. В следующем этапе будет проходить этап, который пройдет в Санкт-Петербурге.",сроки и порядок проведения этапа;
"Участники закупки функциональных характеристик (потребительских свойств) товаров, качества работ, услуг и иных условий исполнения договора определяются в соответствии с регламентом ЭТП и с использованием программно-аппаратных средств ЭТП. Эксперты считают, что процедура обсуждения с участниками закупки может быть проведена в соответствие с регламентом и с помощью программы ЭТП.","процесс обсуждения с участниками закупки функциональных характеристик (потребительских свойств) товаров, качества работ, услуг и иных условий исполнения договора определяется в соответствии с регламентом ЭТП и с использованием программно-аппаратных средств ЭТП;"
"Участники закупки функциональных характеристик (потребительских свойств) товаров, качества работ, услуг и иных условий исполнения договора формируют протокол в соответствии с п. 12.13.11 Положения с указанием информации о принятом решении о необходимости/отсутствии необходимости уточнения извещения, документации о закупке.","по результату обсуждения с участниками закупки функциональных характеристик (потребительских свойств) товаров, качества работ, услуг и иных условий исполнения договора формируется протокол в соответствии с п. 12.13.11 Положения с указанием информации о принятом решении о необходимости/отсутствии необходимости уточнения извещения, документации о закупке;"
"Заказчик и закупка, а также документация о закупке, в том числе, указываются в документации о закупках, в которых указываются: закупка, закупка и документация, в которой указываются: в закупке участвовали, в частности, участники рынка и участники тендера. При этом закупка может быть заморожена, считают эксперты. Эксперты считают, что закупка была проведена успешно, а закупка будет проведена не только по итогам этапа, но и по результатам проведения этапа.","по результату проведения этапа и при принятии соответствующего решения формируются уточненные извещение, документация о закупке, в которых, в том числе, указываются:"
"иные сведения о закупке, которые подлежат изменению в связи с учетом проведения этапа закупки, а также уточненные функциональные характеристики (потребительские свойства) закупаемых товаров, работ, услуг, иных условий исполнения договора. Изменение функциональных характеристик, потребительские свойства, иные условия исполнения контракта.","уточненные функциональные характеристики (потребительские свойства) закупаемых товаров, работ, услуг, иных условий исполнения договора; иные сведения о закупке, которые подлежат изменению в связи с учетом проведения этапа;"
"Информация о времени и сроках подачи окончательных предложений с учетом уточненных требований, установленных в извещении, документации о закупке и документации, установленной в изучении извещения, извещения и извещении.","информация о времени и сроках подачи окончательных предложений с учетом уточненных требований, установленных в извещении, документации о закупке;"
"Объявление и документация о закупке товаров и услуг о поставках и поставках размещаются в сроки, установленные Приложение 2 и Приложение 2; уточненные извещения и документации о заказе размещаются на срок, установленный Приложение 2 (Приложение 2), а документация размещается в сроки установленных Приложение 2. Эксперты считают, что закупка может быть проведена в ближайшие сроки.","уточненные извещение и документация о закупке размещаются в сроки, установленные Приложение 2;"
"После окончания срока подачи заявок, ценового предложения в сроки, установленные уточненными извещением, документацией о закупке, осуществляется рассмотрение первой, второй частей заявок ценового предложения и рассмотрение ценового предложения.","после окончания срока подачи заявок, установленного уточненными извещением, документацией о закупке, осуществляется рассмотрение первой, второй частей заявок, ценового предложения в сроки, установленные уточненными извещением, документацией о закупке;"
"В случае, если по результату обсуждения с участниками закупки функциональных характеристик (потребительских свойств) товаров, работ, услуг и иных условий исполнения договора принято решение об отсутствии необходимости формирования уточненных извещений, документации о закупке, то формируется протокол в соответствии с п. 12.13.11 Положения.","в случае, если по результату обсуждения с участниками закупки функциональных характеристик (потребительских свойств) товаров, работ, услуг и иных условий исполнения договора принято решение об отсутствии необходимости формирования уточненных извещения, документации о закупке, то формируется протокол в соответствии с п. 12.13.11 Положения, с указанием информации об отсутствии необходимости уточнения первоначально размещенных извещения и документации о закупке, при этом не подлежат формированию уточненные версии извещения и документации о закупке."
"При проведении этапа, указанного в подппункте, этап, указанный в подпп, будет проходить в соответствии с требованиями, указанными в подп.12(2) Положения: этап: этапа: этапа, установленного в подпП, и этапа: положения: этапы: этапы, указанные в подппл.12,2 и 12(2) Правила проведения этапа.","При проведении этапа, указанного в подп. 12.12(2) Положения:"
"В документации о закупке дополнительно к сведениям, предусмотренным п. 12.12.16 Положения, указывается следующая информация: в документации об закупке указывается следующая информация о закупках: закупка предполагает следующую информацию, а закупка — следующую информация: закупка в следующем году начнется в октябре 2019 года.","в документации о закупке дополнительно к сведениям, предусмотренным п. 12.12.16 Положения, указывается следующая информация:"
"Правила проведения этапа этапа и порядок его проведения, а также о порядке проведения его этапа.",о проведении этапа и порядке его проведения;
"Участники закупки, подавшие заявку до уточнения извещения, документации о закупке, не могут подавать окончательное предложение после официального размещения протокола по итогам этапа, что является его отказом от участия в закупке.","о праве участника закупки, подавшего заявку до уточнения извещения, документации о закупке, не подавать окончательное предложение после официального размещения протокола по итогам этапа, что является его отказом от участия в закупке;"
"Участники закупки могут подать окончательные предложения с учетом уточненных функциональных характеристик (потребительских свойств) закупаемых товаров, работ, услуг, иных условий исполнения договора с одновременной подачей нового ценового предложения до установленных в них даты и времени окончания срока подачи окончательного предложения.","о праве участников закупки подать окончательные предложения с учетом уточненных функциональных характеристик (потребительских свойств) закупаемых товаров, работ, услуг, иных условий исполнения договора с одновременной подачей нового ценового предложения с даты официального размещения уточненных извещения, документации о закупке до установленных в них даты и времени окончания срока подачи окончательного предложения;"
"Сроки и порядок проведения этапа этапа подготовки к подготовке этапа и сроки проведения его проведения. В следующем этапе будет проходить этап, который пройдет в Санкт-Петербурге.",сроки и порядок проведения этапа;
"Участники закупки определяют технические характеристики (потребительские свойствы) товаров, качества работ, услуг и условия исполнения договора, содержащихся в заявках участников закупки, в соответствии с регламентом ЭТП и с использованием программно-аппаратных средств ЭТП.","процесс обсуждения заказчиком предложений о функциональных характеристиках (потребительских свойствах) товаров, качестве работ, услуг и иных условиях исполнения договора, содержащихся в заявках участников закупки, определяется в соответствии с регламентом ЭТП и с использованием программно-аппаратных средств ЭТП;"
"Положение о закупке товаров, качества работ, услуг и иных условий исполнения договора формируется протокол в соответствии с п. 12.13.12 Положения с указанием информации о принятом решении о необходимости/отсутствии необходимости уточнения извещения, документации о покупке.","по результату обсуждения предложенных участниками закупки функциональных характеристик (потребительских свойств) товаров, качества работ, услуг и иных условий исполнения договора формируется протокол в соответствии с п. 12.13.12 Положения с указанием информации о принятом решении о необходимости/отсутствии необходимости уточнения извещения, документации о закупке;"
"Заказчик и закупка, а также документация о закупке, в том числе, указываются в документации о закупках, в которых указываются: закупка, закупка и документация, в которой указываются: в закупке участвовали, в частности, участники рынка и участники тендера. При этом закупка может быть заморожена, считают эксперты. Эксперты считают, что закупка была проведена успешно, а закупка будет проведена не только по итогам этапа, но и по результатам проведения этапа.","по результату проведения этапа и при принятии соответствующего решения формируются уточненные извещение, документация о закупке, в которых, в том числе, указываются:"
"иные сведения о закупке, которые подлежат изменению в связи с учетом проведения этапа закупки, а также уточненные функциональные характеристики (потребительские свойства) закупаемых товаров, работ, услуг, иных условий исполнения договора. Изменение функциональных характеристик, потребительские свойства, иные условия исполнения контракта.","уточненные функциональные характеристики (потребительские свойства) закупаемых товаров, работ, услуг, иных условий исполнения договора; иные сведения о закупке, которые подлежат изменению в связи с учетом проведения этапа;"
"Информация о времени и сроках подачи окончательных предложений с учетом уточненных требований, установленных в извещении, документации о закупке и документации, установленной в изучении извещения, извещения и извещении.","информация о времени и сроках подачи окончательных предложений с учетом уточненных требований, установленных в извещении, документации о закупке;"
"Объявление и документации о закупке товаров и услуг размещаются в сроки, установленные Приложение 2 и Приложение 2; уточненные извещения и документация о закупках размещаются на срок, установленный Приложение 2 (Приложение 2), а уточненные документации размещаются только в срок, предусмотренные Приложение 2.","уточненные извещение и документации о закупке размещаются в сроки, установленные Приложение 2;"
"После окончания срока подачи заявок и ценового предложения в сроки, установленные уточненными извещением, документацией о закупке осуществляется последовательное рассмотрение первой, второй частей заявок, ценового предложения. Эксперты считают, что ценовой предложение может быть обоснованным и обоснованным.","после окончания срока подачи заявок, установленного уточненными извещением, документацией о закупке осуществляется последовательное рассмотрение первой, второй частей заявок, ценового предложения в сроки, установленные уточненными извещением, документацией о закупке;"
"Заявки, полученные от участника закупки до проведения этапа и официального размещения протокола, являются окончательными и рассматриваются в соответствии с условиями документации о закупке. В случае, если по результату обсуждения предложенных участниками закупки функциональных характеристик (потребительских свойств) закупаемых товаров, работ, услуг, иных условий исполнения договора принято решение об отсутствии необходимости формирования уточненных извещений и документации, формируется протокол.","в случае, если по результату обсуждения предложенных участниками закупки функциональных характеристик (потребительских свойств) закупаемых товаров, работ, услуг, иных условий исполнения договора принято решение об отсутствии необходимости формирования уточненных извещения, документации о закупке, формируется протокол в соответствии с п. 12.13.12, с указанием информации об отсутствии необходимости уточнения первоначально размещенных извещения и документации о закупке; при этом не подлежат формированию уточненные версии извещения и документации о закупке. Заявки, полученные от участника закупки до проведения этапа и официального размещения протокола, являются окончательными и рассматриваются в соответствии с условиями документации о закупке."
"По итогам проведения этапа, предусмотренного в подп. 12.12(3) Положения, проводится рассмотрение заявок на участие в закупке и запрос предложений о функциональных характеристиках (потребительских свойствах) товаров, качестве работ, услуг и об иных условиях исполнения договора.","Этап, предусмотренный в подп. 12.12(3) Положения, проводится, в том числе по итогам проведения этапа, предусмотренного в подп. 12.12(1) или 12.12(2) Положения. По итогам проведения этапа, предусмотренного в подп. 12.12(3) Положения, проводится рассмотрение поданных участниками конкурса в электронной форме и запроса предложений в электронной форме, участниками которых являются только субъекты МСП, заявок на участие в закупке, а также окончательных предложений о функциональных характеристиках (потребительских свойствах) товаров, качестве работ, услуг и об иных условиях исполнения договора. По результату проведения этапа, предусмотренного в подп. 12.12(3) Положения, формируется протокол согласно требованиям, установленным в п. 12.13.3 Положения."
"При проведении закупок, участниками которых являются только субъекты МСП, квалификационные требования к участникам закупок не устанавливаются. Эксперты считают, что для участников закупок, которые являются субъектами МСП, требования участникам закупки не установлены.","При проведении закупок, участниками которых являются только субъекты МСП, квалификационные требования к участникам закупки не устанавливаются."
"При проведении закупок, участниками которых являются субъекты МСП, требование о прохождении аккредитации, предусмотренное подразделом 6.7 Положения, к таким участникам закупок не предъявляется. При этом требование об аккредитации к такому участникам закупки не предъявляется.","При проведении закупок, участниками которых являются только субъекты МСП, требование о прохождении аккредитации, предусмотренной подразделом 6.7 Положения, к таким участникам закупки не предъявляется."
"При проведении этапа этапа, предусмотренного подп.12(4), этапа будет проходить этап, предусмотренный подп. 12(4) Положения: этап: этапа: этапы: этапы, предусмотренные подпп.12 и 12(4), предусмотренных подп.12.12(4)) Положения: Для проведения этапа необходимо провести этап и этап подготовки к этапу, предусмотренному подп. 12.12(4)","При проведении этапа, предусмотренного подп. 12.12(4) Положения:"
"В документации о закупке и закупке указываются следующие сведения, в том числе, сведения о закупках, а также сведения, связанные с закупкой. В документации об закупке указывается, в частности, следующее содержание: закупка и закупка. Эксперты считают, что закупка может быть проведена, если закупка будет проведена.","в документации о закупке указываются, в том числе, следующие сведения:"
"Информация о возможности проведения этапа этапа в порядке, предусмотренном регламентом ЭТП и с использованием программно-аппаратных средств ЭТП, а также информация о возможностях проведения ЭТП в соответствии с регламентом и техническим регламентом.","информация о возможности проведения этапа в порядке, предусмотренном регламентом ЭТП и с использованием программно-аппаратных средств ЭТП;"
"Продолжительность проведения этапа ЭТП устанавливается оператором ЭТП в соответствии со временем часовой зоны, в которой расположен заказчик, и продолжительность приема дополнительных ценовых предложений составляет 3 (три) часа. Заказчик принимает дополнительные ценовые предложения в соответствии с часовой зоной, расположенной в которой находится заказчик.","время начала проведения этапа устанавливается оператором ЭТП в соответствии со временем часовой зоны, в которой расположен заказчик, и продолжительность приема дополнительных ценовых предложений составляет 3 (три) часа;"
"Участники закупки могут узнать о наименьшем ценовом предложении из всех полученных предложений участников закупки посредством функциональности ЭТП, а также информировать участников закупок о наиболее низком предложении посредством функции ЭТП.",об информировании участников закупки о наименьшем ценовом предложении из всех полученных предложений участников посредством функциональности ЭТП;
