query,answer
"Описание продукции должно быть подготовлено участником процедуры закупки в соответствии с требованиями извещения, документации о закупке и может быть представлено в виде: описание продукции будет подготовлено в соответствии со требованиями документа, документации об закупке, а описание должно были подготовлено участникам закупки.","Описание продукции должно быть подготовлено участником процедуры закупки в соответствии с требованиями извещения, документации о закупке (подраздел 10.3 Положения) и может быть представлено в виде:"
"Участники процедуры закупки могут согласовать собственные предложения на поставку товаров, выполнение работ, оказание услуг на условиях, указанных в извещении, документации о закупке, без направления собственных предложений, без согласия (декларации) участника сделки на поставку продукции на условиях указанных в извещением, документацией о заказе.","согласия (декларации) участника процедуры закупки на поставку товаров, выполнение работ, оказание услуг на условиях, указанных в извещении, документации о закупке, без направления участником процедуры закупки собственных предложений в случае, когда такой способ описания продукции допускается извещением, документацией о закупке;"
"Участники процедуры закупки в отношении продукции, в том числе в случае, когда такой способ описания продукции требовался в соответствии с извещением, документацией о закупке, а также подробным предложением участника процедуры.","подробного предложения участника процедуры закупки в отношении продукции, включающего в себя указание производителя и страны происхождения товара, предложения в отношении функциональных характеристик (потребительских свойств), количественных и качественных характеристик продукции (в том числе с предоставлением образцов продукции), в случае, когда такой способ описания продукции требовался в соответствии с извещением, документацией о закупке."
"Документация о закупке продукции устанавливается в извещении, документации о закупках в соответствии с положениями раздела 12. Положения. Документации о заказе устанавливаются в изучении продукции, извещении и документации.","Конкретный способ предоставления описания продукции устанавливается в извещении, документации о закупке в соответствии с положениями раздела 12. Положения."
"Участник процедуры закупки обязан подтвердить соответствие поставляемой продукции требованиям извещения, документации о закупке в отношении всех показателей, которые в ней установлены. При описании продукции участник процедуры покупки обязан подтверждать соответствие соответствия поставляемой ему продукции.","При описании продукции участник процедуры закупки обязан подтвердить соответствие поставляемой продукции требованиям извещения, документации о закупке в отношении всех показателей, которые в ней установлены."
"Нарушение участником процедуры закупки требований к описанию продукции, установленных извещением, документацией о закупке, является основанием для отказа в допуске к участию в закупке.","Нарушение участником процедуры закупки требований к описанию продукции, установленных извещением, документацией о закупке, является основанием для отказа в допуске к участию в закупке."
"Предложение участником процедуры закупки продукции, показатели которой являются улучшенными по сравнению с показателями, установленными в извещении, документации о закупке, не может являться основанием для отказа в допуске к участию в закупке.","Предложение участником процедуры закупки продукции, показатели которой являются улучшенными по сравнению с показателями, установленными в извещении, документации о закупке, не может являться основанием для отказа в допуске к участию в закупке; при этом такое улучшение учитывается при определении победителя закупки только в случаях, указанных в извещении, документации о закупке."
"При описании продукции участником процедуры закупки должны указываться точные, конкретные, однозначно трактуемые и не допускающие двусмысленного толкования показатели, кроме случаев, когда допускается двусмысленное толкование показателей.","При описании продукции участником процедуры закупки должны указываться точные, конкретные, однозначно трактуемые и не допускающие двусмысленного толкования показатели, кроме случаев, когда допускается представление описания в ином порядке с учетом принципов, изложенных в подп. 10.3(1) Положения."
"В случае если в извещении, документации о закупке были указаны товарные знаки, знаки обслуживания, патенты, полезные модели, промышленные образцы или наименование производителя, участник процедуры закупки обязан подтвердить соответствие предлагаемой продукции показателям эквивалентности.","В случае если в извещением, документации о закупке были указаны товарные знаки, знаки обслуживания, патенты, полезные модели, промышленные образцы или наименование производителя, сопровождаемые словами «или эквивалент», и участником процедуры закупки предлагается продукция, являющаяся эквивалентной указанной в извещении, документации о закупке, участник процедуры закупки при описании продукции обязан подтвердить соответствие предлагаемой продукции показателям эквивалентности, установленным в извещении, документации о закупке."
"Участник процедуры закупки должен использовать общеизвестные (стандартные) показатели, термины и сокращения в соответствии с требованиями извещения, документации о закупке. При описании продукции участник процедуры покупки должен применять общеизвестные, стандартные показатели и термины.","При описании продукции участник процедуры закупки должен использовать общеизвестные (стандартные) показатели, термины и сокращения в соответствии с требованиями извещения, документации о закупке."
"Подготовка договора договора о договоре подготовки договора подготовки проекта договора по подготовке договора по договору подготовки проект договора и подготовка договора договоров подготовки документов для договора Подготовка проект договора по подготовке договора Организации договора по заказу Заказчик и организация договора по согласованию договора. Проект договора будет одобрен договором о расторжении договора, а договор будет подписан согласно проекту договора. Соответствующий договор может быть подписан уже в ближайшее время.",Подготовка проекта договора
"При подготовке извещения, документации о закупке в обязательном порядке формулируются требования к условиям исполнения договора в форме проекта договора, который включается в извещение, документацию о покупке. При этом при подготовке документа о заказке формулируются требовая к условим исполнения контракта.","При подготовке извещения, документации о закупке в обязательном порядке формулируются требования к условиям исполнения договора в форме проекта договора, который включается в извещение, документацию о закупке."
"Проект договора является неотъемлемой частью извещения, документации о закупке. Документ — неотъемлемая часть извещения о покупке.","Проект договора является неотъемлемой частью извещения, документации о закупке."
"Проект договора не должен противоречить положениям извещения, документации о закупке. Документ не должен противостоять положениям документации, документации об закупке.","Проект договора не должен противоречить положениям извещения, документации о закупке."
"При проведении закупки способом конкурса, запроса предложений / тендера участники процедуры закупки вправе дать встречные предложения, вплоть до предложения встречного проекта договора. При этом в документации о закупке должны быть отражены условия договора, в отношении которых могут быть приняты встречные предложения.","При проведении закупки способом конкурс, запрос предложений / тендер может выделяться перечень условий проекта договора, в отношении которых участники процедуры закупки вправе дать встречные предложения (вплоть до предложения встречного проекта договора). В этом случае в документации о закупке должны быть отражены:"
"Правила встречных предложений, требования к которым допускаются встречные предложения, и перечень условий, в отношении которых допускается встречное предложение, и требования для таких предложений.","перечень условий, в отношении которых допускаются встречные предложения, и требования к таким предложениям;"
"Проект договора о расторжении договора является неизменным и встречные предложения по ним не допускаются, а иные условия проекта договора неизменными, указание, что встречные предложения о договоре являются неизменными.","указание, что иные условия проекта договора являются неизменными и встречные предложения по ним не допускаются;"
"Участники процедуры закупки могут подать встречные предложения по условиям проекта договора, в отношении которых предусмотрена возможность подачи встречных предложений, а также порядок описания в заявке на участие в закупке предложений по условиям договора.","порядок описания участником процедуры закупки в своей заявке на участие в закупке предложений по условиям проекта договора, в отношении которых предусмотрена возможность подачи встречных предложений;"
"В случае, если заказчик не примет встречные предложения, договор будет заключен на условиях проекта договора, включенного в состав документации о закупке. Если заказчик не будет примет указанные предложения, договор заключит на условиях проекта договора.","указание на то, что предоставляемые участниками встречные предложения носят статус «желательных», и в случае, если заказчик не примет указанные предложения, договор будет заключен на условиях проекта договора, включенного в состав документации о закупке."
"При проведении закупки способом аукцион / редукцион, запрос котировок / запрос цен, ценовой запрос подача встречных предложений по условиям проекта договора не допускается за исключением случаев, предусмотренных Положением.","При проведении закупки способом аукцион / редукцион, запрос котировок / запрос цен, ценовой запрос подача встречных предложений по условиям проекта договора не допускается за исключением случаев, предусмотренных Положением."
"Условия исполнения договора, являющиеся критериями оценки заявок, в проекте договора не указываются и формируются в тексте договора по итогам проведения закупки. Эксперты считают, что условия исполнения договоров не указываются, а критерии оценки закупок не указываются.","Условия исполнения договора, являющиеся критериями оценки заявок, в проекте договора не указываются и формируются в тексте заключаемого договора по итогам проведения закупки."
"Объявление о заключении договора по итогам закупки осуществляется в порядке, установленном разделом 20. Положения. Заключение договора осуществляется в соответствии с разделом 20, Положения, установленным разделом 20 Положения.","Заключение договора по итогам закупки осуществляется в порядке, установленном разделом 20. Положения."
"Московский международный центр имени МЦ «МЦ» и Московской международной торговой ассоциации (МЦ) объявил о том, что в ближайшее время будет организована Международная международная торговая миссия (МЦЦ) — Московская Международная торговая палата (МЦ), которая является одним из крупнейших международных центров для российских компаний.",Требования к НМЦ
"Сведения об НМЦ подлежат указанию в одном из следующих вариантов закупки НМЦ. При проведении процедуры закупки сведения о НМЦ должны подлежать указанию в один из следующих вариантов: НМЦ и НМЦ, а также в одной из вариантов.",При проведении процедуры закупки сведения об НМЦ подлежат указанию в одном из следующих вариантов:
"МЦ «МЦ» опубликовала сведения о том, что в МЦЦ опубликованы сведения об МКЦ, а также сведения об обнародовании новых сведений о МЦЦ. Сведения о НМЦ пока не раскрываются.",сведения об НМЦ;
"Цена договора — максимальное значение цены договора, устанавливающая правила расчета сумм, подлежащих уплате заказчиком контрагенту в ходе исполнения договора и максимальное число цен договора.","формула цены, устанавливающая правила расчета сумм, подлежащих уплате заказчиком контрагенту в ходе исполнения договора, и максимальное значение цены договора;"
Цена единицы продукции и максимальное значение цены договора. Цена договора и максимально значение цен договора.,цена единицы продукции и максимальное значение цены договора.
"В случае проведения конкурентной процедуры закупки результаты определения и обоснования НМЦ подлежат размещению в составе документации о закупке (при проведении конкурса, аукциона/редукциона, запроса предложений/тендера) в соответствии с методическими рекомендациями по определению начальной (максимальной) цены договора (цены лота).","Размер НМЦ подлежит определению и обоснованию в соответствии с методическими рекомендациями по определению начальной (максимальной) цены договора (цены лота) (Приложение 5), при этом в случае проведения конкурентной процедуры закупки результаты определения и обоснования НМЦ подлежат размещению в составе документации о закупке (при проведении конкурса, аукциона/редукциона, запроса предложений/тендера), извещения о проведении закупки (при проведении запроса котировок/запроса цен) в установленном Положением порядке."
"В случае проведения процедуры закупки по нескольким лотам в извещении, документации о закупке сведения об НМЦ указываются для каждого лота отдельно. НМЦ устанавливается в каждом лоте отдельно.","В случае проведения процедуры закупки по нескольким лотам в извещении, документации о закупке сведения об НМЦ указывается для каждого лота отдельно."
"НМЦ не должна отличаться от НМЦ, указанной в утвержденном РПЗ более чем на 10% (десять процентов), установленной в РПЗ (ПЗ). НМЦ может отличаться от установленной РПЗ на 10%, а не на 10% (десяти процентов). Эксперты считают, что НМЦ на 10% не отличается от НБЦ, установленной согласно подп. 10.8(1) – 10.8(3) Положения.","НМЦ, установленная согласно подп. 10.8(1) – 10.8(3) Положения, не должна отличаться от НМЦ, указанной в утвержденном РПЗ (ПЗ) более чем на 10% (десять процентов)."
"Сведения об НМЦ указываются с учетом всех расходов, предусмотренных проектом договора, и налогов, подлежащих уплате в соответствии с нормами законодательства. НМЦ устанавливаются с учетом расходов и расходов на НМЦ, а также расходов, которые подлежат уплате.","Сведения об НМЦ указываются с учетом всех расходов, предусмотренных проектом договора, и налогов, подлежащих уплате в соответствии с нормами законодательства."
"НМЦ НМЦ является конечной и не может быть превышена при заключении договора по итогам закупки НМЦ. НМЦ не может превышать цену НМЦ, а НМЦ — конечной. Цена НМЦ в НМЦ составит около 5%.",НМЦ является конечной и не может быть превышена при заключении договора по итогам закупки.
"Предложение участником процедуры закупки в составе заявки заявки предложения о цене договора, превышающей размер НМЦ, является безусловным основанием для отказа в допуске к участию в процедуре закупки. Предложение участника процедуры закупок в размере НМЦ является необоснованным основанием отказа в участии в закупке.","Предложение участником процедуры закупки в составе заявки предложения о цене договора, превышающей размер НМЦ, является безусловным основанием для отказа в допуске к участию в закупке."
"НМЦ НМЦ может быть указана в рублях Российской Федерации либо в иностранных валютах. НМЦ могла бы быть установлена в рублях или иностранных долларах либо в рублях России либо в других валютах, а НМЦ могут быть указаны в рублях, рублях РФ либо в валютах иностранных государств.",НМЦ может быть указана в рублях Российской Федерации либо в иностранных валютах.
"Информация о заявке на участие в закупке материалов для участия в закупке. Требования к содержанию, форме и составу заявки на участие и участие в ее закупке.","Требования к содержанию, форме и составу заявки на участие в закупке"
"Заявки и заявки на закупку устанавливаются в извещении, документации и документации о закупке в порядке и объеме, предусмотренных разделом 12. Положения для соответствующих процедур закупок.","Требования к содержанию, форме и составу заявки устанавливаются в извещении, документации о закупке в порядке и объеме, предусмотренных разделом 12. Положения для соответствующих процедур закупок."
"Организатор закупки устанавливает требования к содержанию, форме и составу заявки участника закупки с целью формирования исчерпывающего перечня требований, предъявляемых к заявке участника закупки.","Организатор закупки устанавливает требования к содержанию, форме и составу заявки с целью формирования исчерпывающего перечня требований, предъявляемых к заявке участника закупки."
"При проведении закупки не допускается требовать от участника процедуры закупки соблюдения требований к содержанию, форме и составу заявки на участие в закупке, которые не были предусмотрены в извещении, документации о закупке.","При проведении закупки не допускается требовать от участника процедуры закупки соблюдения требований к содержанию, форме и составу заявки на участие в закупке, которые не были предусмотрены в извещении, документации о закупке."
"Обеспечение заявок и обслуживание заявок для российских компаний — это еще один шаг к тому, чтобы обеспечить безопасность заявок. Экспертиза заявок — это не только обеспечение заявок, но и обеспечение достоверности заявок.",Обеспечение заявок
"Ценовой запрос не устанавливается, если НМЦ не превышает 5 000 000 рублей с НДС. Если НМЦ выше 5 000 000 руб. с НДС, ценовой запрос обеспечивается не превышать 5 000 000 000 рублей. Эксперты считают, что рынок может оказаться более привлекательным, чем рыночный.","При проведении конкурентных способов закупок, ценового запроса обеспечение заявок не устанавливается, если НМЦ не превышает 5 000 000 рублей с НДС."
"При проведении конкурентных способов закупки в электронной форме, ценового запроса заказчик обязан установить требование об обеспечении участником процедуры закупки исполнения его обязательств, связанных с участием в процедуре закупки (обеспечение заявки) в случае, если НМЦ превышает 5 000 000 рублей с НДС, за исключением закупок, предусмотренных подразделом 19.11 Положения.","При проведении конкурентных способов закупки в электронной форме, ценового запроса заказчик (организатор закупки) обязан установить требование об обеспечении участником процедуры закупки исполнения его обязательств, связанных с участием в процедуре закупки (обеспечение заявки) в случае, если НМЦ превышает 5 000 000 рублей с НДС, за исключением закупок, предусмотренных подразделом 19.11 Положения."
"Заказчик (организатор закупки) обязан обеспечить заявку в бумажной форме в случае, если НМЦ составляет 50 000 000 рублей с НДС и более, за исключением закупок, предусмотренных подразделом 19.11 Положения.","При проведении конкурентных способов закупки в бумажной форме заказчик (организатор закупки) обязан установить требование об обеспечении заявки в случае, если НМЦ составляет 50 000 000 рублей с НДС и более, за исключением закупок, предусмотренных подразделом 19.11 Положения."
"Требование об обеспечении заявки устанавливается в извещении, документации о закупке в размере от 0,5 до 5% НМЦ и распространяется на всех участников закупки. Требование обеспечения заявки распространяется на участники закупки.","Требование об обеспечении заявки устанавливается в извещении, документации о закупке в размере от 0,5 до 5% (от половины процента до пяти процентов) НМЦ и в равной мере распространяется на всех участников закупки."
"В бумажной форме обеспечение заявки может быть предоставлено: если заявка будет предоставлена, то ее обеспечение будет предоставлено. При проведении конкурентного способа закупки можно будет использовать бумажную форме. При этом обеспечение заявок может предоставлено только в бумажной, форме и в электронной форме. Эксперты считают, что такие способы закупки являются конкурентным способом закупки.",При проведении конкурентного способа закупки в бумажной форме обеспечение заявки может быть предоставлено:
