query,answer
"Срок договора лизинга и срок договора по договору лизинга. Цена договора и сроки договора о лизинге, срок срока договора личного обслуживания, срок договоров лизинга, срок до договора договора.",срок договора лизинга;
"Право заказчика выкупить предмет лизинга, если необходимо, и порядок определения выкупной стоимости предмета лизинга. Если договор будет предусматривать переход права собственности на объект лизинга к лизингополучателю, то выкупная стоимость предмета будет зависеть от его стоимости.","указание на право заказчика выкупить предмет лизинга (если необходимо) и порядок определения выкупной стоимости, либо выкупная стоимость предмета лизинга, если договором лизинга будет предусматриваться переход права собственности на объект лизинга к лизингополучателю;"
"В случае необходимости страхования предмета лизинга лизингодателем - существенные условия договора страхования и условия договора страхового покрытия, а также условия договора о страховании предмета лизисного лизинга - требования лизингодателя о страховом покрытия.","в случае необходимости страхования предмета лизинга лизингодателем - существенные условия такого договора страхования (перечень страхуемых рисков, перечень исключений из страхового покрытия, страхования сумма, предельный размер страховой премии);"
"Лизингодатели могут предоставить лизингодателям дополнительные услуги, подлежащие оказанию лизингодателем в рамках договора лизинга. Сведения о необходимых дополнительных работах (услугах), подлежащих оказанию лизинга в рамках сделки лизинга, а также сведения о необходимости дополнительных дополнительных работ.","сведения о необходимых дополнительных работах (услугах), подлежащих оказанию лизингодателем в рамках договора лизинга;"
"требование о включении в цену договора лизинга всех предусмотренных действующим законодательством налогов, сборов и иных обязательных платежей, а также все предусмотренные действующим законом законодательством обязательные платежи.","требование о включении в цену договора лизинга всех предусмотренных действующим законодательством налогов, сборов и иных обязательных платежей;"
"Правила договора лизинга, а также прочие существенные условия договора договора. Если договор лизинга будет расторгнут, то договор может быть расторгнут.",прочие существенные условия договора лизинга.
"На право заключения договора лизинга с лизингодателем (выбор лизингодателя), НМЦ которой составляет 50 млн. руб. и более, подлежат согласованию с Казначейством Корпорации. Проект извещения и документации о закупке подлежит согласованию Казначейства.","При подготовке к проведению закупки на право заключения договора лизинга с лизингодателем (выбор лизингодателя), НМЦ которой составляет 50 млн. руб. и более, проект извещения и документации о закупке подлежат согласованию с Казначейством Корпорации."
"Корпорация предлагает лизинговые компании, являющиеся организациями Корпорации, в течение 1 (одного) дня после размещения извещения, документации о закупке соответствующего уведомления. Заказчик приглашает к участию в закупке лизинговые фирмы (фирмы) Корпорации.","При проведении процедуры закупки по выбору лизингодателя заказчик приглашает к участию в закупке лизинговые компании (фирмы), являющиеся организациями Корпорации (при наличии), путем направления в течение 1 (одного) дня после размещения извещения, документации о закупке соответствующего уведомления."
"Корпорация индикативной лизинговой ставки определяет НМЦ при закупке лизингодателя в порядке, установленном Приложением No 5 к Положению. При этом расчет НМЦ осуществляется с применением такой ставки, установленной Корпорацией лизинговой ставкой.","При наличии установленной Корпорацией индикативной лизинговой ставки определение НМЦ при проведении процедуры закупки по выбору лизингодателя осуществляется с применением такой ставки в порядке, установленном Приложением № 5 к Положению."
"Закупки с предоставлением приоритета приоритета закупки в приоритете приоритета. Закупки по предоставлению приоритета с предоставлением дополнительного приоритета — приоритет приоритета, закупки с приоритетом приоритета на приоритете.",Закупки с предоставлением приоритета
"Приоритет в обязательном порядке предоставляется исключительно заказчиками I группы при проведении следующих способов закупки. Приоритет предоставляется заказчикам I группы, которые проведут следующие способы закупки: например, закупку для проведения следующего способа закупки: закупка для следующих видов закупки.",Приоритет в обязательном порядке предоставляется исключительно заказчиками I группы при проведении следующих способов закупки:
"На прошлой неделе, когда были опубликованы новые альбомы, которые являются наиболее популярными в мире и являются самыми популярными и популярными для российского рынка, а также являются Самым популярным и самым популярным направлением для того, чтобы понять, кто именно являются лучшим и лучшим игроком на рынке.",конкурс;
"Аукцион и аукцион на аукционах аукционов аукциона аукцион аукцион. аукцион, аукцион в аукционе, а также аукцион по аукциону.",аукцион;
"Запрос запрос на запрос запрос для запроса запрос на запрос запрос. Запрос будет сформирован на основании запроса запроса на запрос. запрос может быть опубликован по запросу запрос. Если запрос будет удовлетворен, то запрос не будет одобрен.",запрос предложений;
"Запрос на запрос для запрос в запрос юристов может быть принят в понедельник. Аналитики считают, что запрос о запрос в ближайшее время не будет.",запрос котировок;
"упрощенка упрощенки — упрощенка для упрощенок и упрощенок — упрощенная упрощенка. Упрощенка будет упрощена, а упрощенка — упрощена.",упрощенная закупка;
"Состязательные состязательные действия и состязательная риторика о состязательных действиях. Состязательный состязательный процесс, а также состязительные состязательства и судебные решения о совместном состязательстве, считают участники рынка и обменялись состязательной инициативой.",состязательные переговоры;
"Ценовой запрос и ценовой запрос на российский рынок оказались ниже ценовых запросов. Эксперты полагают, что ценовые запрос может спровоцировать рост ценового запроса и повышение ценовых показателей.",ценовой запрос.
"Приоритет при проведении неконкурентных закупок, предусмотренных подп. 6.1.1 (а) – 6.1.1(е) Положения не предоставляются. Приоритет не предоставляется при проведении неконкурентных покупок. Приоритет для неконкурентной закупки, предусмотренной подп. 6,1.1(а) – 6.1.1(е), не предоставляется.","Приоритет при проведении неконкурентных закупок, предусмотренных подп. 6.1.1(а) –  6.1.1(е) Положения, не предоставляется."
Цена договора или цена за единицу продукции» и «Стоимость жизненного цикла продукции» осуществляется в следующем порядке: оценка и сопоставление заявок участников закупки осуществляется по ценовым критериям оценки «Цена договора» или «Стоимость жизниенного цикла» и оценка «Стоимостьжизненного цикла».,"При проведении конкурса, запроса предложений, состязательных переговоров оценка и сопоставление заявок участников закупки по ценовым критериям оценки «Цена договора или цена за единицу продукции» и «Стоимость жизненного цикла продукции» осуществляется в следующем порядке:"
"оценка и сопоставление заявок, которые содержат предложения о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами, производится по предложенной в заявках цене договора, сниженной на 15% (пятнадцать процентов), при этом договор заключается по цене, предложенной участником в заявке на участие в закупке.","оценка и сопоставление заявок, которые содержат предложения о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами, по вышеуказанным ценовым критериям оценки производится по предложенной в указанных заявках цене договора, сниженной на 15% (пятнадцать процентов), при этом договор заключается по цене договора, предложенной участником в заявке на участие в закупке;"
"В случае, если в документации о закупке при оценке и сопоставлении заявок по критерию «Цена договора или цена за единицу продукции» в качестве единого базиса оценки установлены цены без учета НДС, расчет рейтинга заявок осуществляется в порядке, предусмотренном в подп. 19.19(1) Положения.","в случае, если в документации о закупке при оценке и сопоставлении заявок по критерию «Цена договора или цена за единицу продукции» в качестве единого базиса оценки установлены цены без учета НДС, расчет рейтинга заявок по указанному критерию оценки осуществляется в порядке, предусмотренном в подп. 19.19(1) Положения, после приведения предложений участников закупки к единому базису оценки без учета НДС."
"Запрос котировок, упрощенной закупки, ценового запроса оценка и сопоставление заявок, которые содержат предложения о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами, производится по цене договора, предложенной участником в заявке на участие в закупке.","При проведении запроса котировок, упрощенной закупки, ценового запроса оценка и сопоставление заявок, которые содержат предложения о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами, по критерию оценки «Цена договора или цена за единицу продукции» производится по предложенной в указанных заявках цене договора, сниженной на 15% (пятнадцать процентов), при этом договор заключается по цене договора, предложенной участником в заявке на участие в закупке."
В случае переторжки предоставление приоритета при осуществлении оценки и сопоставления заявок осуществляется в отношении окончательных предложений участников закупки. В случае проведения переторжки приоритет приоритета осуществляется при осуществлении сопоставления заказок.,В случае проведения переторжки предоставление приоритета при осуществлении оценки и сопоставления заявок осуществляется в отношении окончательных предложений участников закупки.
"При осуществлении закупок продукции путем проведения аукциона в случае, если победителем закупки представлена заявка, содержащая предложение о поставке товаров, происходящих из иностранных государств, договор с таким победителем заключается по цене, сниженной на 15% (пятнадцать процентов) от предложенной им цены договора.","При осуществлении закупок продукции путем проведения аукциона в случае, если победителем закупки представлена заявка на участие в закупке, содержащая предложение о поставке товаров, происходящих из иностранных государств, или предложение о выполнении работ, оказании услуг иностранными лицами, договор с таким победителем заключается по цене, сниженной на 15% (пятнадцать процентов) от предложенной им цены договора."
"В случае, если цена договора снижена до нуля и предметом закупки является право заключить договор с заказчиком, договор с таким победителем заключается по цене, увеличенной на 15% (пятнадцать процентов) от предложенной им цены договора.","В случае, если в ходе проведения аукциона цена договора снижена до нуля и предметом закупки является право заключить договор с заказчиком (аукцион проводился на повышение цены договора) и победителем аукциона представлена заявка на участие в закупке, которая содержит предложение о поставке товаров, происходящих из иностранных государств, или предложение о выполнении работ, оказании услуг иностранными лицами, договор с таким победителем заключается по цене, увеличенной на 15% (пятнадцать процентов) от предложенной им цены договора."
"В извещение, документацию о закупке соответствующим способом, помимо сведений, предусмотренных подразделом 12. Положения, включаются следующие условия предоставления приоритета приоритета: приоритет приоритета, приоритет, приоритет в приоритете, а также условия предоставления дополнительного приоритета.","В извещение, документацию о закупке соответствующим способом, помимо сведений, предусмотренных подразделом 12. Положения, включаются следующие условия предоставления приоритета:"
"требование об указании (декларировании) участником закупки в заявке на участие в конкурсе, запросе предложений, запросе котировок, ценовом запросе, в предложении от поставщика (при проведении состязательных переговоров) страны происхождения поставляемых товаров, а при проведении упрощенной закупки только у субъектов МСП – в первых частях заявок при проведении конкурса, аукциона, запроса предложений и запроса котировок.","требование об указании (декларировании) участником закупки в заявке на участие в конкурсе, запросе предложений, запросе котировок, ценовом запросе, в предложении от поставщика (при проведении состязательных переговоров), в специальных электронных формах функционала ЕАТ (при проведении упрощенной закупки), первой части заявки на участие в аукционе, а при проведении закупок только у субъектов МСП – в первых частях заявок при проведении конкурса, аукциона, запроса предложений, запроса котировок (по тексту настоящего подраздела – заявка на участие в закупке) наименования страны происхождения поставляемых товаров;"
"положение об ответственности участников закупки за представление недостоверных сведений о стране происхождения товара, указанного в заявке на участие в закупке, а также положение об ответственности участников за недостоверные сведения о России происхождения товара.","положение об ответственности участников закупки за представление недостоверных сведений о стране происхождения товара, указанного в заявке на участие в закупке;"
"Сведения о начальной (максимальной) цене единицы каждого товара, работы, услуги, являющихся предметом закупки; сведения о ценах и стоимости товаров, работы, услуг, являющиеся предметом закупок.","сведения о начальной (максимальной) цене единицы каждого товара, работы, услуги, являющихся предметом закупки;"
"Отсутствие указания (декларирования) страны происхождения поставляемого товара не является основанием для отклонения заявки на участие в закупке иностранных товаров, а декларирование страны происждения поставляемой продукции является основанием для отказа от участия в закупке.","условие о том, что отсутствие в заявке на участие в закупке указания (декларирования) страны происхождения поставляемого товара не является основанием для отклонения заявки на участие в закупке и такая заявка рассматривается как содержащая предложение о поставке иностранных товаров;"
"Цены предлагаемых к поставке товаров и работ, оказания услуг российскими и иностранными лицами определяются как произведение начальной (максимальной) цены единицы каждого товара, работы, услуги, указанной в документации о закупке в соответствии с подп. 19.19(4), 19.19(5)Положения, на НМЦ устанавливается коэффициент изменения цены договора по результатам проведения закупки, определяемый как результат деления цены, по которой заключается договор.","условие о том, что для целей установления соотношения цены предлагаемых к поставке товаров российского и иностранного происхождения, цены выполнения работ, оказания услуг российскими и иностранными лицами в случаях, предусмотренных подп. 19.19(4), 19.19(5)Положения, цена единицы каждого товара, работы, услуги определяется как произведение начальной (максимальной) цены единицы товара, работы, услуги, указанной в документации о закупке в соответствии с подп. 19.19(3) Положения, на коэффициент изменения начальной (максимальной) цены договора по результатам проведения закупки, определяемый как результат деления цены договора, по которой заключается договор, на НМЦ;"
"Отнесение участника закупки к российским или иностранным лицам на основании документов, удостоверяющих личность (для юридических лиц и индивидуальных предпринимателей), а также документов, подтверждающих личность, для физических лиц, на основание документов, свидетельствующих о месте его регистрации и месте регистрации (для физлиц и индивидуальных предпринимателей).","условие отнесения участника закупки к российским или иностранным лицам на основании документов участника закупки, содержащих информацию о месте его регистрации (для юридических лиц и индивидуальных предпринимателей), на основании документов, удостоверяющих личность (для физических лиц);"
"Страна происхождения поставляемого товара на основании сведений, содержащихся в заявке на участие в закупке, представленной участником закупки, с которой заключается договор, и указание страны происхождения его страны.","указание страны происхождения поставляемого товара на основании сведений, содержащихся в заявке на участие в закупке, представленной участником закупки, с которым заключается договор;"
"положение о заключении договора с участником закупки, который признан уклонившимся от заключения договора, и положение об основании заключения договора с победителем закупки, считает лучшие условия исполнения договора, следующие после условий, предложенных победителем.","положение о заключении договора с участником закупки, который предложил такие же, как и победитель закупки, условия исполнения договора или предложение которого содержит лучшие условия исполнения договора, следующие после условий, предложенных победителем закупки, который признан уклонившемся от заключения договора;"
"При исполнении договора с участником закупки, которому предоставлен приоритет, не допускается замена страны происхождения товаров, за исключением случаев, когда вместо иностранных товаров поставляются российские товары. При этом качество, технические и функциональные характеристики таких товаров не должны уступать качеству и соответствующим техническим и функциональным характеристикам товаров, указанных в договоре.","условие о том, что при исполнении договора, заключенного с участником закупки, которому предоставлен приоритет, не допускается замена страны происхождения товаров, за исключением случая, когда в результате такой замены вместо иностранных товаров поставляются российские товары, при этом качество, технические и функциональные характеристики (потребительские свойства) таких товаров не должны уступать качеству и соответствующим техническим и функциональным характеристикам товаров, указанных в договоре."
"Приоритет не предоставляется в случае, если: приоритет не предоставляется только в случаях, если, например:: в случае: если:::: приоритет предоставляется не в случаях: если и:: приоритет не предоставляется в случае. Если: приоритет будет предоставлен в случае если: приоритет предоставляется в любом случае. Приоритет не предоставляет в случае некоторых случаев, если приоритет не предоставляется. Приоритет предоставляется для того, чтобы:: например: приоритет предоставляет если:","Приоритет не предоставляется в случаях, если:"
Единственный участник закупки признан несостоявшимся и договор заключается с единственным участником закупки. Единственный участник закупки и единственный участник договора заключается с участником сделки.,закупка признана несостоявшейся и договор заключается с единственным участником закупки;
"В заявке на участие в закупке не содержится предложений о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами. Если заявка на участие не содержится, то в заявке на закупку не содержится предложения о поставках российских товаров и выполнении работ.","в заявке на участие в закупке не содержится предложений о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами;"
"В заявке на участие в закупке не содержится предложений о поставке товаров иностранного происхождения, выполнении работ, оказании услуг иностранными лицами. Если в заявке на закупку не содержится предложения о поставках товаров и работ иностранным лицами, то в заявке не содержатся предложений об иностранных лицах.","в заявке на участие в закупке не содержится предложений о поставке товаров иностранного происхождения, выполнении работ, оказании услуг иностранными лицами;"
"В заявке на участие в упрощенной закупке, представленной участником конкурса, содержится предложение о поставке товаров российского и иностранного происхождения, выполнении работ, оказании услуг иностранными лицами, при этом стоимость товаров и работ, выполняемых, оказываемых российскими лицами, составляет менее 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг.","в заявке на участие в закупке, представленной участником конкурса, запроса предложений, запроса котировок, ценового запроса, состязательных переговоров, упрощенной закупки содержится предложение о поставке товаров российского и иностранного происхождения, выполнении работ, оказании услуг российскими и иностранными лицами, при этом стоимость товаров российского происхождения, стоимость работ, услуг, выполняемых, оказываемых российскими лицами, составляет менее 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг;"
"В заявке на участие в закупке, представленной участником аукциона, содержится предложение о поставке товаров и работ, оказании услуг российскими и иностранными лицами. При этом стоимость товаров российского происхождения, стоимость работ, оказываемых российскими лицами, составляет более 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг.","в заявке на участие в закупке, представленной участником аукциона, содержится предложение о поставке товаров российского и иностранного происхождения, выполнении работ, оказании услуг российскими и иностранными лицами, при этом стоимость товаров российского происхождения, стоимость работ, услуг, выполняемых, оказываемых российскими лицами, составляет более 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг."
"Приоритет устанавливается с учетом положений Генерального соглашения по тарифам и торговле 1994 года и Договора о Евразийском экономическом союзе от 29 мая 2014 года (пункт 8 ПП 925). Приоритет определяется с учетом позиций Генсоглашения по тарифам 1994 года, Договора об Евразии и Евразийского экономического союза, а также положений Генского соглашения 1994 года.",Приоритет устанавливается с учетом положений Генерального соглашения по тарифам и торговле 1994 года и Договора о Евразийском экономическом союзе от 29 мая 2014 года (пункт 8 ПП 925).
"Приоритет применяется к товарам, происходящим из Донецкой Народной республики, Луганской Народной Республики, на равных условиях с товарами российского происхождения. Приоритет относится к товарам из РФ на равных с товарами, происходящими из РФ. Происхождение товаров подтверждается сертификатами о происхождении.","Приоритет применяется к товарам, происходящим из Донецкой Народной Республики, Луганской Народной Республики, на равных условиях с товарами российского происхождения. Происхождение товаров из Донецкой Народной Республики, Луганской Народной Республики подтверждается сертификатами о происхождении товара, выдаваемыми уполномоченными органами (организациями) Донецкой Народной Республики, Луганской Народной Республики."
